Centroid LON,Centroid LAT,Shelf,Sector,Fig2A,Fig2B,Fig2C,Fig3A,Fig3B,Fig3C,Fig4A,Fig4B,Fig4C,Fig5A
143.4042,-10.8494,2,1,0.020711296,0.576687262,0.417598077,18.57142857,1.14303482,0.643833141,0,0,0,0
143.239,-10.853,2,1,0.044376541,1.173577608,0.487768432,22.28571429,0.548167509,0.669263717,0,0,0,0
143.2401,-10.8951,2,1,0.015040013,0.369243335,0.549630457,22.57142857,0.783754564,0.678340628,0,0,0,0
143.2098,-10.8975,2,1,0.023786877,0.46026928,0.456256904,27.85714286,0.831713086,0.677206832,0,0,0,0
143.1778,-10.9065,2,1,0.018809361,0.64851309,0.544708494,27.42857143,0.631426738,0.732616209,0,0,0,0
143.2899,-10.9039,2,1,0.011053664,1.340331573,0.385882139,13.14285714,0.919811869,0.685682957,0,0,0,0
143.3826,-10.9053,2,1,0.031514118,0.540465117,0.31338544,21.57142857,0.888026544,0.65970098,0,0,0,0
143.3135,-10.9149,2,1,0.021361865,0.617198501,0.415916549,23,0.615899402,0.710710925,0,0,0,0
143.2961,-10.9317,2,1,0.015608701,0.585472221,0.391289649,18.28571429,0.949692847,0.642488473,0,0,0,0
143.2183,-10.9324,2,1,0.013471497,0.455039302,0.390959564,20.85714286,0.940927384,0.65773399,0,0,0,0
143.2424,-10.9469,2,1,0.020017321,0.584141723,0.435789283,21.28571429,1.032743222,0.5799664,0,0,0,0
143.1569,-10.9502,1,1,0.021375322,0.875079317,0.409363934,22.85714286,0.69102317,0.673558711,0,0,0,0
143.1301,-10.952,1,1,0.021815915,0.62040119,0.352051701,17.28571429,0.780251664,0.720042615,0,0,0,0
143.3596,-10.9392,2,1,0.028087835,0.397870865,0.362526873,21,0.901833188,0.750662998,0,0,0,0
143.3994,-10.9636,2,1,0.019697895,0.389113601,0.306590977,14.57142857,1.397405644,0.651011252,0,0,0,0
143.4254,-10.9678,2,1,0.015433129,0.661527265,0.550869319,17.85714286,1.616072606,0.767462077,0,1,1,1
143.1253,-10.9866,1,1,0.026719811,0.306178238,0.453409278,21.85714286,1.194934987,0.666565023,0,0,0,0
143.5107,-10.9057,2,1,0.009424193,0.783759842,0.404571332,19.71428571,1.170231898,0.649875859,0,1,1,1
